url,reason,strategy,score,pmid,ref_text,pm_title
https://hinyan1016.hatenablog.com/entry/2025/11/18/062815,linked,B_title_year,0.808,34242915,ESPEN Clinical Nutrition Guidelines - Clinical nutrition in surgery. PubMed - ESPEN guideline: Clini,ESPEN practical guideline: Clinical nutrition in surgery.
https://hinyan1016.hatenablog.com/entry/2026/01/28/111213,no_query,,,,AHA/ASA. 2026 Guideline for the Early Management of Patients With Acute Ischemic Stroke（2018年版および201,
https://hinyan1016.hatenablog.com/entry/2026/01/30/025738,low_score,B2_title_short,0.267,40323557,Interpreting the natural history and pathogenesis of Nipah virus. Lancet Microbe,The Natural History of Acanthamoeba Keratitis: A Systematic Literature Review.
https://hinyan1016.hatenablog.com/entry/2026/01/30/025738,low_score,B2_title_short,0.211,39777153,"Joi P. What is Nipah virus, and why is it spreading again? VaccinesWork (Gavi). ",Nipah virus survey in Pteropus medius of eastern and northeastern region of Indi
https://hinyan1016.hatenablog.com/entry/2026/01/30/025738,low_score,B2_title_short,0.433,30869046,"Choudhury M, et al. Clinical Features of Nipah Virus Encephalitis: A Study from ",Nipah virus infection: A review.
https://hinyan1016.hatenablog.com/entry/2026/01/30/025738,low_score,C_author_year,0.25,32935081,"Choudhury M, et al. Clinical Features of Nipah Virus Encephalitis: A Study from ",The Language of LGBTQ+ Minority Stress Experiences on Social Media.
https://hinyan1016.hatenablog.com/entry/2026/01/30/025738,low_score,B2_title_short,0.211,39777153,"Joi P. What is Nipah virus, and why is it spreading again? VaccinesWork (Gavi). ",Nipah virus survey in Pteropus medius of eastern and northeastern region of Indi
https://hinyan1016.hatenablog.com/entry/2026/01/30/025738,low_score,B_title_year,0.25,41572034,World Health Organization. Disease Outbreak News: Nipah virus infection – Bangla,Expansion by the World Health Organization of the definition of medicinal oxygen
https://hinyan1016.hatenablog.com/entry/2026/01/30/025738,low_score,C_author_year,0.25,40100000,World Health Organization. Disease Outbreak News: Nipah virus infection – Bangla,Dietary modification of membrane composition mimics characteristics of thermal a
https://hinyan1016.hatenablog.com/entry/2026/01/30/025738,low_score,B2_title_short,0.287,29765101,"Arima Y, et al. Nipah Virus Infection in Kozhikode, Kerala, South India, in 2018",Favipiravir (T-705) protects against Nipah virus infection in the hamster model.
https://hinyan1016.hatenablog.com/entry/2026/01/30/025738,low_score,C_author_year,0.25,31193555,"Arima Y, et al. Nipah Virus Infection in Kozhikode, Kerala, South India, in 2018",High Risk Characteristics for Recurrent Cardiovascular Events among Patients wit
https://hinyan1016.hatenablog.com/entry/2026/01/30/025738,low_score,C_author_year,0.25,41945524,"Yadav PD, Sahay RR. Nipah vaccine trials: a milestone in the fight against a dea",Transcatheter Tricuspid Valve Replacement Using Conscious Sedation and Intracard
https://hinyan1016.hatenablog.com/entry/2026/01/30/025738,low_score,B2_title_short,0.267,17698665,"Arankalle VA, Bandyopadhyay BT, Ramdasi AY, et al. Genomic characterization of N",Cis-acting elements in the antigenomic promoter of Nipah virus.
https://hinyan1016.hatenablog.com/entry/2026/01/30/025738,low_score,C_author_year,0.417,17325360,"Arankalle VA, Bandyopadhyay BT, Ramdasi AY, et al. Genomic characterization of N",West Nile virus isolates from India: evidence for a distinct genetic lineage.
https://hinyan1016.hatenablog.com/entry/2026/01/30/025738,low_score,B2_title_short,0.205,39355487,Centers for Disease Control and Prevention (CDC). Nipah virus: Facts for Clinici,Trends and Patterns in Obesity-Related Deaths in the US (2010-2020): A Comprehen
https://hinyan1016.hatenablog.com/entry/2026/01/30/025738,low_score,B_title_year,0.267,31093105,World Health Organization. Nipah virus (Fact sheet). WHO; 30 May 2018.,Cross-sectional study on the utilization of the Pan American Health Organization
https://hinyan1016.hatenablog.com/entry/2026/02/24/083752,low_score,B2_title_short,0.163,23435683,"Edmonds CJ, et al. Dose-response effects of water supplementation on cognitive p",Re-examination of the genotoxic activity of water taken from the Songhua River i
https://hinyan1016.hatenablog.com/entry/2026/02/24/083752,low_score,C_author_year,0.25,24634974,"Edmonds CJ, et al. Dose-response effects of water supplementation on cognitive p",Treating the whole person by integrating care.
https://hinyan1016.hatenablog.com/entry/2025/08/23/192749,low_score,C_author_year,0.25,24645523,"Norton MI, Dunn EW, Aknin LB. Happy Money: The Science of Happier Spending. Simo",Validation of the ANSR Listeria method for detection of Listeria spp. in environ
https://hinyan1016.hatenablog.com/entry/2025/08/23/192749,low_score,B2_title_short,0.177,39845680,Wojno M. Money and Financial Stress Statistics. Bankrate. 2024 Oct 14.,Social determinants of financial stress and association with psychological distr
https://hinyan1016.hatenablog.com/entry/2025/08/23/192749,low_score,C_author_year,0.25,39519055,Wojno M. Money and Financial Stress Statistics. Bankrate. 2024 Oct 14.,Amelanotic Melanoma-Biochemical and Molecular Induction Pathways.
https://hinyan1016.hatenablog.com/entry/2025/08/23/192749,low_score,C_author_year,0.25,23753838,"Caruso C, Rosa R. Sleep and Work. NIOSH Science Blog, CDC. 2012 Mar 8.",Fundus autofluorescence patterns in stargardt disease over time-reply.
https://hinyan1016.hatenablog.com/entry/2025/08/23/192749,low_score,B2_title_short,0.171,31940238,"Kumar A, Killingsworth M, Gilovich T. Spending on Experiences Versus Possessions",The Quality of End-of-Life Care among ICU versus Ward Decedents.
https://hinyan1016.hatenablog.com/entry/2025/08/23/192749,low_score,C_author_year,0.15,36742938,"Kumar A, Killingsworth M, Gilovich T. Spending on Experiences Versus Possessions",Fraser Syndrome: A Stumbling Block for the Anaesthesiologist.
https://hinyan1016.hatenablog.com/entry/2025/08/23/192749,low_score,C_author_year,0.25,29302433,"Mineo L. Good genes are nice, but joy is better. Harvard Gazette. 2017 Apr 11.",A glance at the history of uniportal video-assisted thoracic surgery.
https://hinyan1016.hatenablog.com/entry/2025/08/23/192749,low_score,C_author_year,0.333,26867038,"Whillans AV, Weidman AC, Dunn EW. Valuing Time Over Money Is Associated With Gre",Is spending money on others good for your heart?
https://hinyan1016.hatenablog.com/entry/2025/08/23/192749,low_score,C_author_year,0.25,19936017,Walsh C. Money spent on others can buy happiness. Harvard Gazette. 2008 Apr 17.,An immersed-boundary method for flow-structure interaction in biological systems
https://hinyan1016.hatenablog.com/entry/2025/08/23/192749,low_score,B2_title_short,0.183,39259460,Navia. The Four Pillars of Wealth: Redefining Success. Navia Blog. 2024 Sep 25.,Slowing the Progression of Chronic Kidney Disease in Patients with Type 2 Diabet
https://hinyan1016.hatenablog.com/entry/2025/09/11/103428,low_score,C_author_year,0.306,7895063,"Rowland MJ, et al. J Clin Pharmacol. 1994;34(1):80-5. （セレギリンによる低血糖の症例報告）Hypoglyc",c-fos expression in the rat brain following central administration of neuropepti
https://hinyan1016.hatenablog.com/entry/2025/09/11/103428,low_score,C_author_year,0.438,39685083,"Chmiela T, et al. Mov Disord. 2024;39 Suppl 1: abstr 305. （PD患者の持続血糖モニタリング研究）Epi",Glucose Metabolism Disorders and Parkinson's Disease: Coincidence or Indicator o
https://hinyan1016.hatenablog.com/entry/2025/09/11/103428,low_score,C_author_year,0.15,31452822,"Shi Y, et al. Oncotarget. 2017;8(41):67837-67850. （MPTPマウスにおける体重変化とAM1241の効果）AM1",Ability to Reach Low-Income Smokers Enrolled in a Randomised Controlled Trial Va
https://hinyan1016.hatenablog.com/entry/2025/09/11/103428,low_score,C_author_year,0.25,40964421,"Shih LC, et al. NPJ Parkinsons Dis. 2024;10:28. （PD患者の低体重と腸内細菌叢に関する研究）Unravellin",The Brachyuran Crabs (Crustacea: Decapoda) of Hong Kong: a Historical Review and
https://hinyan1016.hatenablog.com/entry/2025/09/11/103428,low_score,C_author_year,0.15,32863440,"Ma K, et al. Front Aging Neurosci. 2018;10:1. （パーキンソン病患者における体重減少と栄養失調のレビュー）Front",Tracking annual changes of coastal tidal flats in China during 1986-2016 through
https://hinyan1016.hatenablog.com/entry/2026/01/30/030419,linked,B_title_year,1.0,1634895,"Hashimoto S, 他. Transient myoclonic state with asterixis in elderly patients: a new syndrome? J Neur",Transient myoclonic state with asterixis in elderly patients: a new syndrome?
https://hinyan1016.hatenablog.com/entry/2026/02/10/115631,no_query,,,,"加齢・糖尿病とCSFタンパク値に関する文献（Brooks JA, et al. 2019; 各種教科書的記載に基づく）.",
https://hinyan1016.hatenablog.com/entry/2026/02/10/115631,linked,A_author_title,1.0,30765408,"Brooks JA, et al. Causes of albuminocytological dissociation and the impact of age-adjusted cerebros",Causes of albuminocytological dissociation and the impact of age-adjusted cerebrospinal fluid protei
https://hinyan1016.hatenablog.com/entry/2025/09/03/130906,low_score,B2_title_short,0.3,30415756,Medical cannabis use in the Australian community following introduction of legal,Medical cannabis use in older patients: Update on medical knowledge.
https://hinyan1016.hatenablog.com/entry/2025/12/28/085237,linked,A_author_title,1.0,34289086,"Saeki H, et al. Difamilast, a selective phosphodiesterase 4 inhibitor, ointment in paediatric patien","Difamilast, a selective phosphodiesterase 4 inhibitor, ointment in paediatric patients with atopic d"
https://hinyan1016.hatenablog.com/entry/2025/12/28/085237,low_score,C_author_year,0.25,36341215,Otsuka Pharmaceutical Co. Moizerto® Ointment (difamilast) granted approval in Ja,Newer-Generation Drug-Eluting Stents in Patients Undergoing Complex Percutaneous
https://hinyan1016.hatenablog.com/entry/2025/12/28/085237,low_score,B_title_year,0.314,39659052,DermNet NZ. Delgocitinib – Topical JAK inhibitor. Last reviewed Nov 2025.,Benefits of the Topical JAK Inhibitor Delgocitinib in a Patient With Pediatric L
https://hinyan1016.hatenablog.com/entry/2025/12/28/085237,low_score,B2_title_short,0.314,39659052,DermNet NZ. Delgocitinib – Topical JAK inhibitor. Last reviewed Nov 2025.,Benefits of the Topical JAK Inhibitor Delgocitinib in a Patient With Pediatric L
https://hinyan1016.hatenablog.com/entry/2025/12/28/085237,low_score,C_author_year,0.25,41907880,"Lamba R, Paul D. Delgocitinib: A newer Janus kinase inhibitor for dermatologists",New frontiers in oral submucous fibrosis: The promise of collagen based interven
https://hinyan1016.hatenablog.com/entry/2025/08/23/150413,no_query,,,,2022 ESC Guidelines for Ventricular Arrhythmias: Key Points,
https://hinyan1016.hatenablog.com/entry/2025/08/23/150413,low_score,B_title_year,0.207,33594016,"American Heart Association. Adult Tachycardia With a Pulse Algorithm. Dallas, TX",Knowledge on American Heart Association Guidelines Update for Cardiopulmonary Re
https://hinyan1016.hatenablog.com/entry/2025/08/23/150413,no_query,,,,2022 ESC Guidelines for Ventricular Arrhythmias: Key Points,
https://hinyan1016.hatenablog.com/entry/2025/08/23/150413,low_score,B_title_year,0.207,33594016,"American Heart Association. Adult Tachycardia With a Pulse Algorithm. Dallas, TX",Knowledge on American Heart Association Guidelines Update for Cardiopulmonary Re
