url,reason,strategy,score,pmid,ref_text,pm_title
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,linked,B_title_year,1.0,31967322,Mortality of Japanese patients with Leigh syndrome: effects of age. Brain Dev. 2020.,Mortality of Japanese patients with Leigh syndrome: Effects of age at onset and genetic diagnosis.
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B_title_year,0.267,33646563,Gene therapy approaches for mitochondrial disease. Hum Gene Ther. 2021.,Current and Emerging Clinical Treatment in Mitochondrial Disease.
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.191,34973025,Gene therapy approaches for mitochondrial disease. Hum Gene Ther. 2021.,Bioinformatics Approaches for Parkinson's Disease in Clinical Practice: Data-Dri
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.243,32307935,Systematic review of vitamin and cofactor therapy in mitochondrial disease. Mol ,Effect of Vitamin D on the Vaginal Health of Menopausal Women: A Systematic Revi
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.171,32010326,Coenzyme Q10 and other supplements in mitochondrial disease. J Neurol. 2020.,Potential benefits of garlic and other dietary supplements for the management of
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.35,30740406,Exercise training in mitochondrial myopathy: benefits and limitations. Neuromusc,Mitochondrial disorders.
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B_title_year,0.138,31520699,Management of cardiac and endocrine complications in mitochondrial disease. J In,Cholestasis-associated reproductive toxicity in male and female rats: The fundam
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.188,31872564,Management of cardiac and endocrine complications in mitochondrial disease. J In,Cardiac and Liver Disease in Children: Implications for Management Before and Af
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.225,32733713,Supportive and symptomatic treatment of mitochondrial diseases. Cochrane Databas,Severe Hypermagnesemia with Normal Renal Function Can Improve with Symptomatic T
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.211,31861972,Next-generation sequencing for comprehensive mtDNA analysis. Genet Med. 2019.,M3S: a comprehensive model selection for multi-modal single-cell RNA sequencing 
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.2,31838500,Limitations of muscle biopsy in mitochondrial disease diagnosis. J Clin Neurosci,Improved Human Muscle Biopsy Method To Study Neuromuscular Junction Structure an
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B_title_year,0.225,30334528,Imaging findings in Myoclonic Epilepsy with Ragged Red Fibers. AJNR Am J Neurora,Antimyoclonic Effect of Levetiracetam and Clonazepam Combined Treatment on Myocl
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.225,30334528,Imaging findings in Myoclonic Epilepsy with Ragged Red Fibers. AJNR Am J Neurora,Antimyoclonic Effect of Levetiracetam and Clonazepam Combined Treatment on Myocl
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,linked,B_title_year,1.0,31334367,Leigh syndrome with atypical cerebellar lesions. Pediatr Neurol. 2019.,Leigh syndrome with atypical cerebellar lesions.
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.35,32020600,Leigh syndrome: genetic heterogeneity and clinical spectrum. J Inherit Metab Dis,Genetic heterogeneity in Leigh syndrome: Highlighting treatable and novel geneti
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.267,28717435,Myoclonic epilepsy with ragged red fibers: clinical and pathological features. M,"Psoriasis, bulbar involvement, and diarrhea in late myoclonic epilepsy with ragg"
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,linked,B2_title_short,0.78,30210725,Maternally inherited diabetes and deafness (MIDD) associated with m.3243A&gt;G mutation. Diabetes Ca,The Tip of the Iceberg in Maternally Inherited Diabetes and Deafness.
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B_title_year,0.183,32483512,Clinical manifestations of mitochondrial encephalomyopathy. J Neurol Sci. 2020.,Late-onset Mitochondrial Encephalomyopathy with Lactic Acidosis and Stroke-like 
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.267,33049060,Clinical manifestations of mitochondrial encephalomyopathy. J Neurol Sci. 2020.,Retinal Manifestations of Mitochondrial Oxidative Phosphorylation Disorders.
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.188,34969639,Diagnostic approach to mitochondrial disorders: genetic testing strategies. J In,Advanced approach for comprehensive mtDNA genome testing in mitochondrial diseas
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B_title_year,0.35,27618766,Nuclear genetic defects in mitochondrial disorders. Nat Rev Neurol. 2016.,Myoclonus epilepsy in mitochondrial disorders.
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.183,33322828,Population prevalence of pathogenic mtDNA variants. Nat Genet. 2020.,Genetic and Clinical Findings in an Ethnically Diverse Cohort with Retinitis Pig
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B_title_year,0.35,39684324,Mitochondrial diseases: from molecular mechanisms to therapeutic advances. Signa,Decoding Neurodegeneration: A Review of Molecular Mechanisms and Therapeutic Adv
https://hinyan1016.hatenablog.com/entry/2025/10/04/092356,low_score,B2_title_short,0.211,39857248,Mitochondrial diseases: from molecular mechanisms to therapeutic advances. Signa,Molecular and Cellular Mechanisms of Immunosenescence: Modulation Through Interv
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,B_title_year,1.0,37197370,"Hernandez-Ronquillo L, Thorpe L, Feng C, Hunter G. Diagnostic Accuracy of Ambulatory EEG vs Routine ",Diagnostic Accuracy of Ambulatory EEG vs Routine EEG in Patients With First Single Unprovoked Seizur
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,A_author_title,1.0,35176173,"Japaridze G, Loeckx D, Buckinx T, et al. Automated detection of absence seizures using a wearable el",Automated detection of absence seizures using a wearable electroencephalographic device: a phase 3 v
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,A_author_title,0.887,17998441,"Hoppe C, Poepel A, Elger CE. Accuracy of patient seizure counts. Arch Neurol. 2007;64(11):1595–9.",Epilepsy: accuracy of patient seizure counts.
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,B_title_year,0.95,36385467,"Alcala-Zermeno JL, Starnes K, Gregg NM, et al. Responsive neurostimulation with low-frequency stimul",Responsive neurostimulation with low-frequency stimulation.
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,B_title_year,1.0,24643875,"DiNuzzo M, Mangia S, Maraviglia B, Giove F. Does abnormal glycogen structure contribute to increased",Does abnormal glycogen structure contribute to increased susceptibility to seizures in epilepsy?
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,low_score,C_author_year,0.312,37588927,"Hahn CD, Jiang Y, Villanueva V, et al. A phase 2, randomized, double-blind, plac",No increased inbreeding avoidance during the ovulatory phase of the menstrual cy
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,B_title_year,1.0,28089765,"Cohen-Pfeffer JL, Gururangan S, Lester T, et al. Intracerebroventricular Delivery as a Safe, Long-Te","Intracerebroventricular Delivery as a Safe, Long-Term Route of Drug Administration."
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,B_title_year,1.0,22683779,"Jimenez-Mateos EM, Engel T, Merino-Serrais P, et al. Silencing microRNA-134 produces neuroprotective",Silencing microRNA-134 produces neuroprotective and prolonged seizure-suppressive effects.
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,A_author_title,0.958,26865513,"Stamberger H, Nikanorova M, Accorsi P, et al. STXBP1: A neurodevelopmental disorder including epilep",STXBP1 encephalopathy: A neurodevelopmental disorder including epilepsy.
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,low_score,B_title_year,0.233,35597980,"Portelli J, Park L, Lujan B, et al. An Open-Label Pilot Trial Assessing the Safe",Long-term evaluation of the safety and efficacy of recombinant human pentraxin-2
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,low_score,C_author_year,0.25,36497441,"Portelli J, Park L, Lujan B, et al. An Open-Label Pilot Trial Assessing the Safe",Digital Quantification of Intratumoral CD8+ T-Cells Predicts Relapse and Unfavor
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,B_title_year,1.0,28816242,"Youssef EA, Berry-Kravis E, Czech C, et al. Effect of the mGluR5-NAM Basimglurant on Behavior in Ado",Effect of the mGluR5-NAM Basimglurant on Behavior in Adolescents and Adults with Fragile X Syndrome 
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,low_score,B_title_year,0.171,30175525,"Kelly E, Schaeffer SM, Dhamne SC, et al. mGluR5 Modulation of Behavioral and Epi",Utilizing resources of neuropsychopharmacology to address the opioid overdose cr
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,low_score,C_author_year,0.15,33715646,"Kelly E, Schaeffer SM, Dhamne SC, et al. mGluR5 Modulation of Behavioral and Epi",The neurology-psychiatry interface in epilepsy.
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,A_author_title,1.0,30705758,"Sciberras D, Otoul C, Lurquin F, et al. A pharmacokinetic study of radiprodil oral suspension in hea",A pharmacokinetic study of radiprodil oral suspension in healthy adults comparing conventional venou
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,B_title_year,1.0,17785672,"Kasteleijn-Nolst Trenité DGA, Genton P, Parain D, et al. Evaluation of brivaracetam, a novel SV2A li","Evaluation of brivaracetam, a novel SV2A ligand, in the photosensitivity model."
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,A_author_title,1.0,33475151,"Brigo F, Igwe SC, Lattanzi S. Ethosuximide, sodium valproate or lamotrigine for absence seizures in ","Ethosuximide, sodium valproate or lamotrigine for absence seizures in children and adolescents."
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,B_title_year,1.0,35429480,"Knight EMP, Amin S, Bahi-Buisson N, et al. Safety and efficacy of ganaxolone in patients with CDKL5 ",Safety and efficacy of ganaxolone in patients with CDKL5 deficiency disorder: results from the doubl
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,A_author_title,1.0,36268811,"French J, Biton V, Dave H, et al. A randomized phase 2b efficacy study in patients with seizure epis",A randomized phase 2b efficacy study in patients with seizure episodes with a predictable pattern us
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,A_author_title,1.0,22220513,"Gunthorpe MJ, Large CH, Sankar R. The mechanism of action of retigabine (ezogabine), a first-in-clas","The mechanism of action of retigabine (ezogabine), a first-in-class K+ channel opener for the treatm"
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,low_score,B2_title_short,0.156,32864522,"Picchione KE, Inglis AM, Resnick L, et al. Discovery and Characterization of KB-",Advancements in composition and structural characterization of bone to inform me
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,B_title_year,1.0,37812429,"French JA, Porter RJ, Perucca E, et al. Efficacy and Safety of XEN1101, a Novel Potassium Channel Op","Efficacy and Safety of XEN1101, a Novel Potassium Channel Opener, in Adults With Focal Epilepsy: A P"
https://hinyan1016.hatenablog.com/entry/2026/02/17/101639,linked,A_author_title,1.0,29279892,"Chen Z, Brodie MJ, Liew D, Kwan P. Treatment Outcomes in Patients With Newly Diagnosed Epilepsy Trea",Treatment Outcomes in Patients With Newly Diagnosed Epilepsy Treated With Established and New Antiep
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,linked,A_author_title,1.0,37133683,"Koch S, et al. Clinical utility of polygenic risk scores: critical appraisal. 2023.",Clinical utility of polygenic risk scores: a critical 2023 appraisal.
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,A_author_title,0.688,38710950,"Fortea J, et al. APOE4 homozygosity represents a distinct genetic form of AD. 20",APOE4 homozygozity represents a distinct genetic form of Alzheimer's disease.
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,B_title_year,0.688,38710950,"Fortea J, et al. APOE4 homozygosity represents a distinct genetic form of AD. 20",APOE4 homozygozity represents a distinct genetic form of Alzheimer's disease.
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,B2_title_short,0.688,38710950,"Fortea J, et al. APOE4 homozygosity represents a distinct genetic form of AD. 20",APOE4 homozygozity represents a distinct genetic form of Alzheimer's disease.
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,C_author_year,0.25,39881982,"Fortea J, et al. APOE4 homozygosity represents a distinct genetic form of AD. 20",Acute stress triggers sex-dependent rapid alterations in the human small intesti
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,A_author_title,0.35,35848017,"Liu Q, et al. CSF SNAP-25 meta-analysis. 2022.",Cerebrospinal Fluid Synaptosomal-Associated Protein 25 Levels in Patients with A
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,B_title_year,0.35,35848017,"Liu Q, et al. CSF SNAP-25 meta-analysis. 2022.",Cerebrospinal Fluid Synaptosomal-Associated Protein 25 Levels in Patients with A
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,C_author_year,0.261,39104932,"Liu Q, et al. CSF SNAP-25 meta-analysis. 2022.",Sex Difference in the Treatment of Dupuytren's Disease: A Systematic Review and 
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,C_author_year,0.25,41555492,"Zhao A, et al. sTREM2 and MCI-to-AD conversion. 2022.",Enhancing interpretation of clinical disease-associated copy number variations f
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,A_author_title,0.35,39557867,"Hofmann A, et al. Comparative NfL trajectories in CSF and blood (AD関連). 2024.",Comparative neurofilament light chain trajectories in CSF and plasma in autosoma
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,C_author_year,0.25,40717812,"Hofmann A, et al. Comparative NfL trajectories in CSF and blood (AD関連). 2024.",Major Problems in Clinical Psychological Science and How to Address them. Introd
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,B_title_year,0.433,37075703,"van Zalm PW, et al. Meta-analysis of published CSF proteomics data identifies me",Meta-analysis of published cerebrospinal fluid proteomics data identifies and va
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,linked,A_author_title,1.0,39564918,"Collij LE, et al. Centiloid recommendations for clinical context-of-use. 2024.",Centiloid recommendations for clinical context-of-use from the AMYPAD consortium.
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,linked,A_author_title,1.0,39778970,"Rabinovici GD, et al. Updated Appropriate Use Criteria for Amyloid and Tau PET. 2025.",Updated Appropriate Use Criteria for Amyloid and Tau PET: A Report from the Alzheimer's Association 
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,A_author_title,0.436,36573329,"Ruan D, et al. Amyloid-β PET in AD: systematic review &amp; meta-analysis. 2022.",Amyloid-β PET in Alzheimer's disease: A systematic review and Bayesian meta-anal
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,B2_title_short,0.0,,"Ruan D, et al. Amyloid-β PET in AD: systematic review &amp; meta-analysis. 2022.",
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,C_author_year,0.25,37589307,"Ruan D, et al. Amyloid-β PET in AD: systematic review &amp; meta-analysis. 2022.",Chromosome-level genome and recombination map of the male buffalo.
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,linked,A_author_title,1.0,38730496,"Honig LS, et al. Updated safety results from phase 3 lecanemab study. 2024.",Updated safety results from phase 3 lecanemab study in early Alzheimer's disease.
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,linked,A_author_title,1.0,37459141,"Sims JR, et al. Trial of Donanemab in Early Symptomatic Alzheimer Disease (TRAILBLAZER-ALZ 2). 2023.",Donanemab in Early Symptomatic Alzheimer Disease: The TRAILBLAZER-ALZ 2 Randomized Clinical Trial.
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,B_title_year,0.308,37874099,"van Dyck CH, et al. Lecanemab in Early Alzheimer's Disease (CLARITY-AD). 2023.","Lecanemab Clarity AD: Quality-of-Life Results from a Randomized, Double-Blind Ph"
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,linked,B2_title_short,1.0,37099355,"van Dyck CH, et al. Lecanemab in Early Alzheimer's Disease (CLARITY-AD). 2023.",Lecanemab in Early Alzheimer's Disease. Reply.
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,linked,A_author_title,0.958,40205199,"Palmqvist S, et al. Plasma phospho-tau217 for AD diagnosis in primary/secondary care using a fully a",Plasma phospho-tau217 for Alzheimer's disease diagnosis in primary and secondary care using a fully 
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,A_author_title,0.312,38746261,"Ashton NJ, et al. Diagnostic accuracy of a plasma p-tau217 immunoassay (multi-co",Plasma p-tau217 in Alzheimer's disease: Lumipulse and ALZpath SIMOA head-to-head
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,B2_title_short,0.1,41726393,"Ashton NJ, et al. Diagnostic accuracy of a plasma p-tau217 immunoassay (multi-co",Using LLMs to Interpret Arterial Blood Gases: Comparison of a Novel Math Scratch
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,low_score,C_author_year,0.295,39736697,"Ashton NJ, et al. Diagnostic accuracy of a plasma p-tau217 immunoassay (multi-co",Sex differences in the relationships between 24-h rest-activity patterns and pla
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,linked,A_author_title,1.0,40729527,"Palmqvist S, et al. Alzheimer's Association Clinical Practice Guideline on blood-based biomarkers (s",Alzheimer's Association Clinical Practice Guideline on the use of blood-based biomarkers in the diag
https://hinyan1016.hatenablog.com/entry/2026/02/12/010038,linked,A_author_title,1.0,38942991,"Jack CR Jr, et al. Revised criteria for diagnosis and staging of Alzheimer's disease: Alzheimer's As",Revised criteria for the diagnosis and staging of Alzheimer's disease.
https://hinyan1016.hatenablog.com/entry/2025/11/14/155130,linked,A_author_title,1.0,21699833,"Daoud EG, Glotzer TV, Wyse DG, et al. Temporal relationship of atrial tachyarrhythmias, cerebrovascu","Temporal relationship of atrial tachyarrhythmias, cerebrovascular events, and systemic emboli based "
https://hinyan1016.hatenablog.com/entry/2025/11/14/155130,linked,B_title_year,1.0,37162578,"Ratajczak-Tretel B, Lambert AT, Al-Ani R, et al. Prediction of underlying atrial fibrillation in pat",Prediction of underlying atrial fibrillation in patients with a cryptogenic stroke: results from the
https://hinyan1016.hatenablog.com/entry/2025/11/14/155130,low_score,B_title_year,0.2,39593708,"Ihle-Hansen H, Hagberg G, Sandset EC, et al. What do we really know about the ef",The effect of exercise on postural alignment: A systematic review.
https://hinyan1016.hatenablog.com/entry/2025/11/14/155130,linked,A_author_title,1.0,36374508,"Schwamm LH, Kamel H, Granger CB, et al. Predictors of atrial fibrillation in patients with stroke at",Predictors of Atrial Fibrillation in Patients With Stroke Attributed to Large- or Small-Vessel Disea
https://hinyan1016.hatenablog.com/entry/2025/11/14/155130,linked,A_author_title,1.0,31189435,"Jordan K, Yaghi S, Poppas A, et al. Left atrial volume index is associated with cardioembolic stroke",Left Atrial Volume Index Is Associated With Cardioembolic Stroke and Atrial Fibrillation Detection A
